name,symbol,current_price_usd,market_cap,total_volume,price_change_24h,timestamputc
BNB,bnb,770.02,105073476160,2783986435,-7.82902,2026-02-01_11-18-19
XRP,xrp,1.63,99394072207,6260245137,-3.81629,2026-02-01_11-18-19
Bitcoin,btc,78554.0,1567643535225,84338224428,-5.1308,2026-02-01_12-39-07
Ethereum,eth,2403.93,289039766191,54343382573,-8.70417,2026-02-01_12-39-07
Tether,usdt,0.999209,185234822722,148582865712,0.07576,2026-02-01_12-39-07
BNB,bnb,771.04,105003656870,2803534381,-7.54119,2026-02-01_12-39-07
XRP,xrp,1.64,99623762611,6402403307,-2.98336,2026-02-01_12-39-07
Bitcoin,btc,78457.0,1567772352187,83534712877,-4.79707,2026-02-01_13-40-06
Ethereum,eth,2390.79,288519203898,53781586246,-8.68916,2026-02-01_13-40-06
Tether,usdt,0.999109,185208290023,147850688683,0.07176,2026-02-01_13-40-06
BNB,bnb,769.93,104988310795,2771901414,-7.1496,2026-02-01_13-40-06
XRP,xrp,1.64,99783582286,6192334173,-2.51731,2026-02-01_13-40-06
Bitcoin,btc,78019.0,1558868964184,82369527721,-4.7466,2026-02-01_14-22-13
Ethereum,eth,2370.33,286003371683,47165420303,-8.74908,2026-02-01_14-22-13
Tether,usdt,0.999113,185191563780,145189742016,0.07358,2026-02-01_14-22-13
BNB,bnb,760.77,103714232924,2678068647,-6.95159,2026-02-01_14-22-13
XRP,xrp,1.62,98690248239,6147970069,-2.16516,2026-02-01_14-22-13
Bitcoin,btc,77329.0,1549672215294,79455127155,-4.57393,2026-02-01_15-20-11
Ethereum,eth,2328.52,282119742958,48957861807,-8.34773,2026-02-01_15-20-11
Tether,usdt,0.998981,185187864462,138596309311,0.03897,2026-02-01_15-20-11
BNB,bnb,750.81,102541049138,2604109814,-7.24581,2026-02-01_15-20-11
XRP,xrp,1.6,97529959240,6391772533,-2.89134,2026-02-01_15-20-11
Bitcoin,btc,77189.0,1544136568022,78550754601,-5.54136,2026-02-01_16-23-17
Ethereum,eth,2291.4,277339777891,47037210442,-9.72061,2026-02-01_16-23-17
Tether,usdt,0.998951,185171972077,138716203801,0.04237,2026-02-01_16-23-17
BNB,bnb,747.07,102364679914,2288648196,-7.22884,2026-02-01_16-23-17
XRP,xrp,1.59,96909417241,6399943531,-3.02923,2026-02-01_16-23-17
Bitcoin,btc,77611.0,1551370592637,69910928806,-1.69089,2026-02-01_17-21-22
